Kind,Service,Price (INR),Service ID
Other,101Z App,10.00,svc-101z-app
Other,567 Slots,10.00,svc-567-slots
Other,777 Game,10.00,svc-777-game
Other,789 Jackpot,10.00,svc-789-jackpot
Other,ABC Rummy,10.00,svc-abc-rummy
Other,Bet 213 Slots,10.00,svc-bet-213-slots
Other,Bingo 101,10.00,svc-bingo-101
Other,Boss Rummy,10.00,svc-boss-rummy
Other,Club INR,10.00,svc-club-inr
Other,Dhan Game,10.00,svc-dhan-game
Other,DIWA 777,10.00,svc-diwa-777
Other,Diwa Ace,10.00,svc-diwa-ace
Other,Diwa Game,10.00,svc-diwa-game
Other,Diwa King,10.00,svc-diwa-king
Other,Diwa Lucky,10.00,svc-diwa-lucky
Other,Diwa Play,10.00,svc-diwa-play
Other,Diwa Slots,10.00,svc-diwa-slots
Other,Diwa Top,10.00,svc-diwa-top
Other,Diwa VIP,10.00,svc-diwa-vip
Other,Diwa Win,10.00,svc-diwa-win
Other,Diwa X,10.00,svc-diwa-x
Other,EN 365,10.00,svc-en-365
Other,Ever 777,10.00,svc-ever-777
Other,Game Rummy,10.00,svc-game-rummy
Other,Goa Spin,10.00,svc-goa-spin
Other,GoGo Rummy,10.00,svc-gogo-rummy
Other,Gold Rummy,10.00,svc-gold-rummy
Other,Good Slots,10.00,svc-good-slots
Other,Hi Rummy,10.00,svc-hi-rummy
Other,Hindi 777,10.00,svc-hindi-777
Other,IND Bingo,10.00,svc-ind-bingo
Other,IND Club,10.00,svc-ind-club
Other,IND Rummy,10.00,svc-ind-rummy
Other,IND Slots,10.00,svc-ind-slots
Other,INR Rummy,10.00,svc-inr-rummy
Other,INR Slots,10.00,svc-inr-slots
Other,Jaiho 777,10.00,svc-jaiho-777
Other,Jaiho 777 VIP,10.00,svc-jaiho-777-vip
Other,Jaiho 91,10.00,svc-jaiho-91
Other,Jaiho Arcade,10.00,svc-jaiho-arcade
Other,Jaiho Rummy,10.00,svc-jaiho-rummy
Other,Jaiho Slots,10.00,svc-jaiho-slots
Other,Jaiho Spin,10.00,svc-jaiho-spin
Other,Jaiho Win,10.00,svc-jaiho-win
Other,Joy Rummy,10.00,svc-joy-rummy
Other,Love Rummy,10.00,svc-love-rummy
Other,Maha Games,10.00,svc-maha-games
Other,Max Rummy,10.00,svc-max-rummy
Other,MBM Bet,10.00,svc-mbm-bet
Other,MDM Bet,10.00,svc-mdm-bet
Other,MKM Bet,10.00,svc-mkm-bet
Other,Money Rummy,10.00,svc-money-rummy
Other,MQM Bet,10.00,svc-mqm-bet
Other,MWM Bet,10.00,svc-mwm-bet
Other,My 777,10.00,svc-my-777
Other,Neta VIP,10.00,svc-neta-vip
Other,OK Rummy,10.00,svc-ok-rummy
Other,Rumble Rummy,10.00,svc-rumble-rummy
Other,Rummy 365,10.00,svc-rummy-365
Other,Rummy 77,10.00,svc-rummy-77
Other,Rummy 888,10.00,svc-rummy-888
Other,Rummy 91,10.00,svc-rummy-91
Other,Rummy App,10.00,svc-rummy-app
Other,Rummy Ludo,10.00,svc-rummy-ludo
Other,Rummy Yono,10.00,svc-rummy-yono
Other,Rummy Zip,10.00,svc-rummy-zip
Other,Saga Slots,10.00,svc-saga-slots
Other,Share Slots,10.00,svc-share-slots
Other,Slots Spin,10.00,svc-slots-spin
Other,Slots Winner,10.00,svc-slots-winner
Other,Spin 101,10.00,svc-spin-101
Other,Spin 777,10.00,svc-spin-777
Other,Spin Crush,10.00,svc-spin-crush
Other,Spin Gold,10.00,svc-spin-gold
Other,Spin Lucky,10.00,svc-spin-lucky
Other,Spin Winner,10.00,svc-spin-winner
Other,SVIP 777,10.00,svc-svip-777
Other,TOP Rummy,10.00,svc-top-rummy
Other,Win Rummy,10.00,svc-win-rummy
Other,Winzo Rummy,10.00,svc-winzo-rummy
Other,Yes Spin,10.00,svc-yes-spin
Other,YN 777,10.00,svc-yn-777
Other,YN Rummy,10.00,svc-yn-rummy
Other,Yono 777,10.00,svc-yono-777
Other,Yono Games,10.00,svc-yono-games
Other,Yono Maha Games,10.00,svc-yono-maha-games
Other,Yono Rummy,10.00,svc-yono-rummy
Other,Yono Slots,10.00,svc-yono-slots
Other,Yono VIP,10.00,svc-yono-vip
Other,Yoyo Slots,10.00,svc-yoyo-slots
